cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed,fold,best_epoch
+50d,50.0,487,24,0.049281314168377825,0.2578300539022311,0.8293736501079914,0.2753623188405797,0.16666666666666666,0.7916666666666666,0.3846153846153846,0.7377878427505493,0.5,85.0,0,finetune,0,0,7
+100d,100.0,487,24,0.049281314168377825,0.288186193728348,0.8309035277177824,0.3140495867768595,0.1958762886597938,0.7916666666666666,0.35999999999999993,0.7428680658340454,0.5,91.0,0,finetune,0,0,7
full,,487,24,0.049281314168377825,0.3811663256031996,0.8681605471562275,0.3486238532110092,0.2235294117647059,0.7916666666666666,0.4705882352941177,0.7320094108581543,0.5,152.0,0,finetune,0,0,7
-50d,-50.0,486,23,0.047325102880658436,0.17557587895031923,0.8040191567283312,0.20212765957446807,0.11515151515151516,0.8260869565217391,0.25316455696202533,0.7222869992256165,0.5,76.0,2,finetune,0,1,6
-20d,-20.0,486,23,0.047325102880658436,0.14043282367172064,0.7899333270729646,0.2087912087912088,0.11949685534591195,0.8260869565217391,0.23622047244094488,0.6742597222328186,0.5,80.0,1,finetune,0,1,6
-10d,-10.0,486,23,0.047325102880658436,0.19003357177266494,0.8068363226594046,0.21348314606741572,0.12258064516129032,0.8260869565217391,0.2608695652173913,0.6742597222328186,0.5,81.0,1,finetune,0,1,6
+0d,0.0,486,23,0.047325102880658436,0.23068299581616114,0.8239271293079162,0.2222222222222222,0.12837837837837837,0.8260869565217391,0.3373493975903614,0.6967074871063232,0.5,84.0,0,finetune,0,1,6
+20d,20.0,486,23,0.047325102880658436,0.2229599418021575,0.8470278899427176,0.22784810126582278,0.13333333333333333,0.782608695652174,0.3870967741935484,0.7020696997642517,0.5,87.0,0,finetune,0,1,6
+50d,50.0,486,23,0.047325102880658436,0.2718025311655055,0.8682505399568033,0.31666666666666665,0.1958762886597938,0.8260869565217391,0.4210526315789474,0.6567989587783813,0.5,92.0,0,finetune,0,1,6
+100d,100.0,486,23,0.047325102880658436,0.39245628573410335,0.878204526246596,0.34545454545454546,0.21839080459770116,0.8260869565217391,0.4761904761904762,0.6785827875137329,0.5,97.0,0,finetune,0,1,6
